player_name,player_id,team_name
Jalen Johnson,1630552,Atlanta Hawks
Keaton Wallace,1630811,Atlanta Hawks
Kobe Bufkin,1641723,Atlanta Hawks
Dyson Daniels,1630700,Atlanta Hawks
David Roddy,1631223,Atlanta Hawks
Zaccharie Risacher,1642258,Atlanta Hawks
Trae Young,1629027,Atlanta Hawks
De'Andre Hunter,1629631,Atlanta Hawks
Bogdan Bogdanović,203992,Atlanta Hawks
Clint Capela,203991,Atlanta Hawks
Onyeka Okongwu,1630168,Atlanta Hawks
Mouhamed Gueye,1631243,Atlanta Hawks
Larry Nance Jr.,1626204,Atlanta Hawks
Garrison Mathews,1629726,Atlanta Hawks
Dominick Barlow,1631230,Atlanta Hawks
Vít Krejčí,1630249,Atlanta Hawks
Daeqwon Plowden,1631342,Atlanta Hawks
Cody Zeller,203469,Atlanta Hawks
Jayson Tatum,1628369,Boston Celtics
Jrue Holiday,201950,Boston Celtics
Jaylen Brown,1627759,Boston Celtics
Kristaps Porziņģis,204001,Boston Celtics
Derrick White,1628401,Boston Celtics
Payton Pritchard,1630202,Boston Celtics
Drew Peterson,1641809,Boston Celtics
JD Davison,1631120,Boston Celtics
Xavier Tillman,1630214,Boston Celtics
Jordan Walsh,1641775,Boston Celtics
Anton Watson,1641817,Boston Celtics
Sam Hauser,1630573,Boston Celtics
Luke Kornet,1628436,Boston Celtics
Al Horford,201143,Boston Celtics
Jaden Springer,1630531,Boston Celtics
Baylor Scheierman,1631248,Boston Celtics
Neemias Queta,1629674,Boston Celtics
Dariq Whitehead,1641727,Brooklyn Nets
D'Angelo Russell,1626156,Brooklyn Nets
Cameron Johnson,1629661,Brooklyn Nets
Reece Beekman,1641736,Brooklyn Nets
Ziaire Williams,1630533,Brooklyn Nets
Trendon Watford,1630570,Brooklyn Nets
Ben Simmons,1627732,Brooklyn Nets
Tosan Evbuomwan,1641787,Brooklyn Nets
Tyrese Martin,1631213,Brooklyn Nets
De'Anthony Melton,1629001,Brooklyn Nets
Day'Ron Sharpe,1630549,Brooklyn Nets
Noah Clowney,1641730,Brooklyn Nets
Jalen Wilson,1630592,Brooklyn Nets
Cam Thomas,1630560,Brooklyn Nets
Maxwell Lewis,1641721,Brooklyn Nets
Nic Claxton,1629651,Brooklyn Nets
Bojan Bogdanović,202711,Brooklyn Nets
Keon Johnson,1630553,Brooklyn Nets
Miles Bridges,1628970,Charlotte Hornets
LaMelo Ball,1630163,Charlotte Hornets
Grant Williams,1629684,Charlotte Hornets
DaQuan Jeffries,1629610,Charlotte Hornets
Nick Richards,1630208,Charlotte Hornets
Mark Williams,1631109,Charlotte Hornets
Nick Smith Jr.,1641733,Charlotte Hornets
Josh Green,1630182,Charlotte Hornets
Cody Martin,1628998,Charlotte Hornets
Moussa Diabaté,1631217,Charlotte Hornets
Isaiah Wong,1631209,Charlotte Hornets
Vasilije Micić,203995,Charlotte Hornets
Tre Mann,1630544,Charlotte Hornets
Brandon Miller,1641706,Charlotte Hornets
KJ Simpson,1642354,Charlotte Hornets
Seth Curry,203552,Charlotte Hornets
Tidjane Salaün,1642275,Charlotte Hornets
Taj Gibson,201959,Charlotte Hornets
Coby White,1629632,Chicago Bulls
Lonzo Ball,1628366,Chicago Bulls
Josh Giddey,1630581,Chicago Bulls
Jevon Carter,1628975,Chicago Bulls
Jalen Smith,1630188,Chicago Bulls
Zach LaVine,203897,Chicago Bulls
Nikola Vučević,202696,Chicago Bulls
Ayo Dosunmu,1630245,Chicago Bulls
Torrey Craig,1628470,Chicago Bulls
Matas Buzelis,1641824,Chicago Bulls
Julian Phillips,1641763,Chicago Bulls
Emanuel Miller,1641801,Chicago Bulls
Adama Sanogo,1641766,Chicago Bulls
Talen Horton-Tucker,1629659,Chicago Bulls
Dalen Terry,1631207,Chicago Bulls
Chris Duarte,1630537,Chicago Bulls
E.J. Liddell,1630604,Chicago Bulls
Patrick Williams,1630172,Chicago Bulls
Max Strus,1629622,Cleveland Cavaliers
Ty Jerome,1629660,Cleveland Cavaliers
Caris LeVert,1627747,Cleveland Cavaliers
Evan Mobley,1630596,Cleveland Cavaliers
Sam Merrill,1630241,Cleveland Cavaliers
Craig Porter Jr.,1641854,Cleveland Cavaliers
Darius Garland,1629636,Cleveland Cavaliers
Tristan Thompson,202684,Cleveland Cavaliers
JT Thor,1630550,Cleveland Cavaliers
Georges Niang,1627777,Cleveland Cavaliers
Emoni Bates,1641734,Cleveland Cavaliers
Jaylon Tyson,1642281,Cleveland Cavaliers
Jarrett Allen,1628386,Cleveland Cavaliers
Dean Wade,1629731,Cleveland Cavaliers
Luke Travers,1631247,Cleveland Cavaliers
Isaac Okoro,1630171,Cleveland Cavaliers
Donovan Mitchell,1628378,Cleveland Cavaliers
Danté Exum,203957,Dallas Mavericks
Jazian Gortman,1641789,Dallas Mavericks
Jaden Hardy,1630702,Dallas Mavericks
Dereck Lively II,1641726,Dallas Mavericks
Quentin Grimes,1629656,Dallas Mavericks
Dwight Powell,203939,Dallas Mavericks
Olivier-Maxence Prosper,1641765,Dallas Mavericks
Brandon Williams,1630314,Dallas Mavericks
Kyrie Irving,202681,Dallas Mavericks
Naji Marshall,1630230,Dallas Mavericks
Kessler Edwards,1630556,Dallas Mavericks
Daniel Gafford,1629655,Dallas Mavericks
P.J. Washington,1629023,Dallas Mavericks
Spencer Dinwiddie,203915,Dallas Mavericks
Klay Thompson,202691,Dallas Mavericks
Maxi Kleber,1628467,Dallas Mavericks
Luka Dončić,1629029,Dallas Mavericks
Markieff Morris,202693,Dallas Mavericks
Christian Braun,1631128,Denver Nuggets
Michael Porter Jr.,1629008,Denver Nuggets
Julian Strawther,1631124,Denver Nuggets
Russell Westbrook,201566,Denver Nuggets
Hunter Tyson,1641816,Denver Nuggets
DeAndre Jordan,201599,Denver Nuggets
Peyton Watson,1631212,Denver Nuggets
Dario Šarić,203967,Denver Nuggets
PJ Hall,1641790,Denver Nuggets
DaRon Holmes II,1641747,Denver Nuggets
Nikola Jokić,203999,Denver Nuggets
Spencer Jones,1642461,Denver Nuggets
Zeke Nnaji,1630192,Denver Nuggets
Trey Alexander,1641725,Denver Nuggets
Jalen Pickett,1629618,Denver Nuggets
Jamal Murray,1627750,Denver Nuggets
Vlatko Čančar,1628427,Denver Nuggets
Aaron Gordon,203932,Denver Nuggets
Jalen Duren,1631105,Detroit Pistons
Ronald Holland II,1641842,Detroit Pistons
Cade Cunningham,1630595,Detroit Pistons
Malik Beasley,1627736,Detroit Pistons
Paul Reed,1630194,Detroit Pistons
